LR	LW	2.5	881250949
LR	SP	3.5	881250949
LR	JML	3	881250949
LR	SR	3.5	881250949
LR	YMD	2.5	881250949
LR	NL	3.0	881250949
GS	LW	3	881250949
GS	SP	3.5	881250949
GS	JML	1.5	881250949
GS	SR	5	881250949
GS	NL	3	881250949
GS	YMD	3.5	881250949
MP	LW	2.5	881250949
MP	SP	3.0	881250949
MP	SR	3.5	881250949
MP	NL	4	881250949
CP	SP	3.5	881250949
CP	JML	3	881250949
CP	NL	4.5	881250949
CP	SR	4.0	881250949
CP	YMD	2.5	881250949
MLS	LW	3	881250949
MLS	SP	4	881250949
MLS	JML	2	881250949
MLS	SR	3	881250949
MLS	NL	3	881250949
MLS	YMD	2	881250949
JM	LW	3	881250949
JM	SP	4	881250949
JM	NL	3	881250949
JM	SR	5	881250949
JM	YMD	3.5	881250949
TB	SP	4.5	881250949
TB	YMD	1	881250949
TB	SR	4	881250949
